"filename", "language", "SQL", "Dart", "Swift", "JSON", "C++", "XML", "Markdown", "YAML", "HTML", "Gradle", "Properties", "comment", "blank", "total"
"c:\Users\ferna\development\flutter\concentrationscreen\lib\pages\daily_goals\goal_add_sheet.dart", "Dart", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 85
"c:\Users\ferna\development\flutter\concentrationscreen\lib\pages\homepage.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"c:\Users\ferna\development\flutter\concentrationscreen\lib\pages\notebook\edit.dart", "Dart", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 97
"c:\Users\ferna\development\flutter\concentrationscreen\lib\pages\notebook\private_notebook.dart", "Dart", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 62
"c:\Users\ferna\development\flutter\concentrationscreen\lib\providers\appstate.dart", "Dart", 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 191
"c:\Users\ferna\development\flutter\concentrationscreen\lib\widgets\apps\app.dart", "Dart", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 93
"c:\Users\ferna\development\flutter\concentrationscreen\lib\widgets\apps\app_use_display.dart", "Dart", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 85
"c:\Users\ferna\development\flutter\concentrationscreen\lib\widgets\apps\apps.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 53
"c:\Users\ferna\development\flutter\concentrationscreen\lib\widgets\apps\open_dialog.dart", "Dart", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 61
"c:\Users\ferna\development\flutter\concentrationscreen\lib\widgets\apps\searchbar.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\ferna\development\flutter\concentrationscreen\lib\widgets\are_you_sure.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\ferna\development\flutter\concentrationscreen\lib\widgets\buttons\buttons.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 69
"c:\Users\ferna\development\flutter\concentrationscreen\lib\widgets\buttons\squarebutton.dart", "Dart", 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 106
"c:\Users\ferna\development\flutter\concentrationscreen\lib\widgets\goal\goaldisplay.dart", "Dart", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 131
"c:\Users\ferna\development\flutter\concentrationscreen\lib\widgets\goal\ratingdialog.dart", "Dart", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 64
"c:\Users\ferna\development\flutter\concentrationscreen\lib\widgets\notebook\note_display.dart", "Dart", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 91
"c:\Users\ferna\development\flutter\concentrationscreen\lib\widgets\notebook\view_note.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\ferna\development\flutter\concentrationscreen\lib\widgets\time.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\ferna\development\flutter\concentrationscreen\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\ferna\development\flutter\concentrationscreen\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\ferna\development\flutter\concentrationscreen\linux\main.cc", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ferna\development\flutter\concentrationscreen\linux\my_application.cc", "C++", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 17, 26, 125
"c:\Users\ferna\development\flutter\concentrationscreen\linux\my_application.h", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\ferna\development\flutter\concentrationscreen\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 13
"c:\Users\ferna\development\flutter\concentrationscreen\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\ferna\development\flutter\concentrationscreen\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ferna\development\flutter\concentrationscreen\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\ferna\development\flutter\concentrationscreen\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 1, 344
"c:\Users\ferna\development\flutter\concentrationscreen\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\ferna\development\flutter\concentrationscreen\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 60, 15, 106
"c:\Users\ferna\development\flutter\concentrationscreen\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\ferna\development\flutter\concentrationscreen\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 16, 6, 60
"c:\Users\ferna\development\flutter\concentrationscreen\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\ferna\development\flutter\concentrationscreen\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\ferna\development\flutter\concentrationscreen\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\ferna\development\flutter\concentrationscreen\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\ferna\development\flutter\concentrationscreen\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\ferna\development\flutter\concentrationscreen\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\ferna\development\flutter\concentrationscreen\windows\runner\resource.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\ferna\development\flutter\concentrationscreen\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\ferna\development\flutter\concentrationscreen\windows\runner\utils.h", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\ferna\development\flutter\concentrationscreen\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\ferna\development\flutter\concentrationscreen\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 22, 1669, 52, 248, 542, 478, 13, 34, 38, 102, 8, 326, 438, 3970
